Shape, Mass, Dimensions
Cyl,1390.0,3.0,3.0
Cyl,2043.0,3.2,2.3
Box,39.0,0.5,0.3,0.3
Box,35.0,0.9,0.5,0.5
Box,10.0,0.3,0.2,0.2
Box,6.8,0.3,0.2,0.2
Box,10.0,0.3,0.2,0.2
Box,10.0,0.3,0.2,0.2
Box,10.0,0.3,0.2,0.2
Box,12.0,0.3,0.2,0.2
Box,4.0,0.3,0.1,0.1
Box,10.0,0.3,0.1,0.1
Box,5.0,0.3,0.1,0.1
Box,5.0,0.3,0.1,0.1
Box,220.0,0.4,0.4,0.4
Box,15.0,0.4,0.2,0.2
Cyl,130.0,0.8,0.4
Box,4.0,0.3,0.1,0.1
Box,5.0,0.3,0.1,0.1
Box,80.0,0.5,0.5,0.5
Box,80.0,0.5,0.5,0.5
Box,80.0,0.5,0.5,0.5
Box,80.0,0.5,0.5,0.5
Box,1.0,0.1,0.1,0.1
Box,55.0,1.0,0.5,0.5
Box,15.0,0.4,0.2,0.2
Box,39.0,0.5,0.3,0.3
Box,39.0,0.5,0.3,0.3
Box,10.0,0.3,0.2,0.2
Box,5.0,0.3,0.1,0.1
Box,5.0,0.3,0.1,0.1
Box,5.0,0.3,0.1,0.1
Box,10.0,0.3,0.2,0.2
Box,20.0,0.3,0.2,0.2
Cyl,295.0,0.8,0.4
Box,10.0,0.3,0.2,0.2
Box,39.0,0.5,0.3,0.3
Box,10.0,0.3,0.2,0.2
Box,10.0,0.3,0.2,0.2
Box,3.0,0.2,0.1,0.1
Box,110.0,1.0,0.8,0.8
Box,52.0,0.55,0.55,0.55
Box,46.0,0.85,0.6,0.6
Box,46.0,0.5,0.5,0.5
Box,55.0,0.55,0.59,0.59
Box,55.0,1.0,0.5,0.5
Box,55.0,1.0,0.5,0.5
Box,55.0,1.0,0.5,0.5
Box,55.0,1.0,0.5,0.5
Box,55.0,1.0,0.5,0.5
Box,220.0,0.4,0.4,0.4
Box,10.0,0.3,0.2,0.2
Box,25.0,0.3,0.2,0.2
Box,8.1,0.3,0.2,0.2
Box,55.0,1.0,0.5,0.5
Box,10.0,0.3,0.2,0.2
Box,41.5,0.813,0.508,0.508
Box,80.0,0.15,1.0,1.0
Box,540.0,0.5,0.5,0.5
Box,540.0,0.5,0.5,0.5
Box,10.0,0.3,0.2,0.2
Box,15.0,0.4,0.2,0.2
Box,4.0,0.3,0.1,0.1
Box,15.0,0.4,0.2,0.2
Box,15.0,0.4,0.2,0.2
Box,41.5,0.813,0.508,0.508
Box,41.5,0.813,0.508,0.508
Box,220.0,0.4,0.4,0.4
Cyl,176.0,1.0,0.5
Box,180.0,0.5,0.8,0.8
Box,1300.0,2.0,1.0,1.0
Box,10.0,0.3,0.2,0.2
Box,4.0,0.3,0.1,0.1
Box,4.0,0.34,0.1,0.1
Sphere,295.0,0.42
Cyl,622.0,1.95,0.46
Box,600.0,0.5,0.5,0.5
Box,600.0,0.5,0.5,0.5
Box,54.0,0.8,0.6,0.6
Box,10.0,0.3,0.2,0.2
Box,10.0,0.3,0.2,0.2
Box,50.0,1.5,1.0,1.0
Box,50.0,1.5,1.0,1.0
Box,3.0,0.2,0.1,0.1
Box,4.0,0.3,0.1,0.1
Box,10.0,0.3,0.2,0.2
Box,80.0,0.15,1.0,1.0
Box,41.5,0.813,0.508,0.508
Box,80.0,0.15,1.0,1.0
Box,87.0,1.0,1.0,1.0
Box,41.5,0.813,0.508,0.508
Box,41.5,0.813,0.508,0.508
Box,41.5,0.813,0.508,0.508
Box,220.0,0.4,0.4,0.4
Box,220.0,0.4,0.4,0.4
Box,100.0,0.6,0.1,0.1
Box,50.0,0.6,0.1,0.1
Cyl,2210.0,2.5,2.0
Box,4.0,0.3,0.1,0.1
Box,50.0,1.5,1.0,1.0
Box,50.0,1.5,1.0,1.0
Box,50.0,1.5,1.0,1.0
Box,50.0,1.5,1.0,1.0
Box,50.0,0.6,0.1,0.1
Box,55.0,1.0,0.5,0.5
Box,4.0,0.3,0.1,0.1
Box,41.5,0.813,0.508,0.508
Box,10.0,0.3,0.2,0.2
Box,15.0,0.4,0.2,0.2
Box,220.0,0.4,0.4,0.4
Box,41.5,0.813,0.508,0.508
Box,41.5,0.813,0.508,0.508
Box,15.0,0.4,0.2,0.2
Box,15.0,0.4,0.2,0.2
Box,22.0,0.4,0.2,0.2
Box,6.0,0.3,0.1,0.1
Box,3.2,0.3,0.1,0.1
Box,7.0,0.3,0.1,0.1
Box,120.0,1.5,1.0,1.0
Box,20.0,0.4,0.2,0.2
Box,50.0,0.6,0.1,0.1
Box,41.5,0.813,0.508,0.508
Box,41.5,0.813,0.508,0.508
Box,200.0,1.5,0.5,0.5
Box,200.0,1.5,0.5,0.5
Box,86.0,0.85,0.55,0.55
Box,200.0,1.5,0.5,0.5
Box,200.0,1.5,0.5,0.5
Box,220.0,0.4,0.4,0.4
Box,41.5,0.813,0.508,0.508
Box,41.5,0.813,0.508,0.508
Box,42.0,1.5,1.0,1.0
Box,42.0,1.5,1.0,1.0
Box,42.0,1.5,1.0,1.0
Box,42.0,1.5,1.0,1.0
Box,42.0,1.5,1.0,1.0
Box,42.0,1.5,1.0,1.0
Box,42.0,1.5,1.0,1.0
Box,42.0,1.5,1.0,1.0
Box,42.0,1.5,1.0,1.0
Box,42.0,1.5,1.0,1.0
Box,42.0,1.5,1.0,1.0
Box,42.0,1.5,1.0,1.0
Box,42.0,1.5,1.0,1.0
Box,42.0,1.5,1.0,1.0
Box,42.0,1.5,1.0,1.0
Box,42.0,1.5,1.0,1.0
Box,42.0,1.5,1.0,1.0
Box,42.0,1.5,1.0,1.0
Box,42.0,1.5,1.0,1.0
Box,4.205,0.3,0.1,0.1
