satellite_name,norad_id,C_pR_pR,C_pI_pI,C_pC_pC
SHIYAN-3 (SY-3),08056A,0.0023019363056509,0.0001347075944417,0.0026881689026673
CHUANGXIN 1-02 (CX-1-02),08056B,0.0026186013209675,0.8300513982139226,0.0036873025142164
ASTRA 1M,08057A,0.1765796059641112,404.2200878529357,0.0896368159371515
YAOGAN-4,08061A,0.0055791290503675,0.0276251727594433,0.0006497884105873
EUTELSAT HOTBIRD 13C,08065A,0.6741486143178662,90.98843040592033,0.0085942670565524
GOSAT (IBUKI),09002A,0.0023243870140763,1.502060849981647,0.0008688551626408
STARS (KUKAI),09002G,0.008704482052959,1.2205794652581907,0.0019962911353754
KKS-1 (KISEKI),09002H,0.004092086350117,0.1186270544949366,5.813732633663816e-06
EXPRESS-AM44,09007A,0.2858506934971011,4.668662472874899,0.0031454211308826
NSS-9,09008A,0.2513217621681832,0.3736080062632022,0.0116946469374042
TELSTAR 11N,09009A,0.0048540157985691,96.16601414625694,8.653689645688832
NAVSTAR 63 (USA 203),09014A,0.0271649647908656,0.0171381819331021,0.0054389722907671
WGS F2 (USA 204),09017A,0.0619828188991043,50.059203447827066,4.52904121170257
SES-7 (PROTOSTAR 2),09027A,5.371602169490151,86.6171372961096,90.62585778659373
MEASAT-3A,09032A,0.4861687588144984,0.1653333917307909,0.2235821458925925
GOES 14,09033A,0.2310959015782912,0.2499181257579223,0.0035177023446265
FM-5,09034A,0.0514744068223177,1.4116238757207031,6.247289908928206
TERRESTAR-1,09035A,1.8013045788066502,31.68374206040085,0.534603095608635
COSMOS 2451,09036A,0.0012080287087768,0.0359605846924854,0.0008910098536006
COSMOS 2453,09036C,0.0010501063556692,0.0318642340169114,0.0008630906089477
DEIMOS-1,09041A,0.0028644450004561,0.5233527334256867,0.0014374060170481
DUBAISAT-1,09041B,0.0038074730493547,0.2047301874589758,0.0006158707003669
UK-DMC 2,09041C,0.0015694623240703,1.344743769331055,0.0016716103395739
APRIZESAT 4,09041D,0.0041651981432694,0.2160218774326949,0.001195976384393
NANOSAT 1B,09041E,0.0051950637347371,0.1409804054656895,0.0012709105148094
APRIZESAT 3,09041F,0.0061428780487347,0.7451781707186825,0.0007176652672926
ASIASAT 5,09042A,0.0025079475973361,0.2576724076532035,0.4757789239160545
NAVSTAR 64 (USA 206),09043A,8.664581282247287e-05,0.0948027470575483,0.0014287890480005
