satellite_name,norad_id,C_pR_pR,C_pI_pI,C_pC_pC,radial_outlier,in-track_outlier,cross-track_outlier
CANX-2,08021H,0.0047808108820853,0.8357792167933136,0.0013811887233343,0,0,0
SEEDS II (CO-66),08021J,0.0028346846637009,0.0139761505960056,0.000888234874822,0,0,0
AMOS-3,08022A,0.012219479341433751,0.040707614440901,0.0059493954737684,1,0,0
GALAXY 18 (G-18),08024A,0.0050069032346243,2.752713412137616,0.01901756128441395,0,0,1
YUBILEINY (RS30),08025A,0.0015914996097215,0.0026289415125576,0.0006326554901101,0,0,0
COSMOS 2437,08025B,0.0010698058532155,0.0074935439352494,3.23559556967644e-05,0,0,0
COSMOS 2438,08025C,0.0011644552395654,0.0798719421764182,0.0005276742097159,0,0,0
COSMOS 2439,08025D,0.0014672859897762,0.0496039439232893,0.000152582289835,0,0,0
FENGYUN 3A,08026A,0.0022813237640076,0.0033768326389324,0.0014450697425995,0,0,0
ZHONGXING-9,08028A,0.012219479341433751,0.163517772347786,0.0003462087269558,1,0,0
FGRST (GLAST),08029A,0.0072611836428268,0.3455943991830978,0.0813771665212708,0,0,0
SKYNET 5C,08030A,0.012219479341433751,0.8888096404066875,0.0024319343727917,1,0,0
TURKSAT 3A,08030B,0.012219479341433751,23.24274006630242,0.01901756128441395,1,0,1
INTELSAT 25 (IS-25),08034A,0.0,0.0,0.0,0,0,0
ECHOSTAR 11,08035A,0.0030411047726456,2.495105466446378,0.0024941348043519,0,0,0
SUPERBIRD-C2,08038A,0.012219479341433751,0.0469648824300087,0.0033660323967711,1,0,0
INMARSAT 4-F3,08039A,0.012219479341433751,25.51350909356357,0.01901756128441395,1,1,1
HUANJING 1A (HJ-1A),08041A,0.00520801776162,6.157370781099797,0.0022100100439526,0,0,0
HUANJING 1B (HJ-1B),08041B,0.0040398099736734,5.313686517976923,0.0026068509205711,0,0,0
GEOEYE 1,08042A,0.0034141813155942,0.0246010312573346,0.0015838159094194,0,0,0
NIMIQ 4,08044A,0.0128533755163652,0.2870859702032325,0.01901756128441395,0,0,1
GALAXY 19 (G-19),08045A,0.012219479341433751,25.51350909356357,0.01901756128441395,1,1,1
THEOS,08049A,0.0031583584114578,0.4359274354693339,0.0020416041571696,0,0,0
SHIJIAN-6 03A (SJ-6 03A),08053A,0.01143299091153,28.355413456106536,0.0003742731730899,0,0,0
SHIJIAN-6 03B (SJ-6 03B),08053B,0.0006435319489521,0.5065501432146715,0.0013945492428696,0,0,0
COSMO-SKYMED 3,08054A,0.0057042205404057,18.37846601844,0.0001988032097341,0,0,0
SHIYAN-3 (SY-3),08056A,0.0023019363056509,0.0001347075944417,0.0026881689026673,0,0,0
CHUANGXIN 1-02 (CX-1-02),08056B,0.0026186013209675,0.8300513982139226,0.0036873025142164,0,0,0
