satellite_name,norad_id,C_pR_pR,C_pI_pI,C_pC_pC
ICO G1,08016A,0.0045811928136669,0.1273215760074443,0.0085424717258287
VINASAT-1,08018A,0.01251285276166695,29.426284397441364,0.01993180495107045
STAR ONE C2,08018B,0.01251285276166695,29.426284397441364,0.01993180495107045
CARTOSAT-2A,08021A,0.0069786311655601,0.9983377587121562,0.0002193914225643
CUTE-1.7+APD II (CO-65),08021C,0.0092137619368781,2.122412646241369,0.0013008685856653
CANX-2,08021H,0.0050526220405042,0.982753142142704,0.0013899636696841
SEEDS II (CO-66),08021J,0.0029389148097455,0.0147504864399408,0.0008895701874811
AMOS-3,08022A,0.01251285276166695,29.426284397441364,0.01993180495107045
GALAXY 18 (G-18),08024A,0.01251285276166695,29.426284397441364,0.01993180495107045
YUBILEINY (RS30),08025A,0.0016320129259217,0.00393185803979,0.0006617067381606
COSMOS 2437,08025B,0.0010703519265988,0.0110770959763725,3.290877192690007e-05
COSMOS 2438,08025C,0.0011787912179988,0.0933004041405147,0.0005310464842955
COSMOS 2439,08025D,0.0014678433644793,0.06086340718847,0.0001554099051318
FENGYUN 3A,08026A,0.0023053912996501,0.0033768502127849,0.001463991283651
ZHONGXING-9,08028A,0.01251285276166695,29.426284397441364,0.01993180495107045
FGRST (GLAST),08029A,0.0076305393136852,0.3621751367297022,0.0847580766513236
SKYNET 5C,08030A,0.01251285276166695,29.426284397441364,0.01993180495107045
TURKSAT 3A,08030B,0.01251285276166695,29.426284397441364,0.01993180495107045
INTELSAT 25 (IS-25),08034A,0.0,0.0,0.0
ECHOSTAR 11,08035A,0.0032785874402916,2.5389197464990447,0.0025139789946314
SUPERBIRD-C2,08038A,0.01251285276166695,29.426284397441364,0.01993180495107045
INMARSAT 4-F3,08039A,0.01251285276166695,29.426284397441364,0.01993180495107045
HUANJING 1A (HJ-1A),08041A,0.0051876055982351,6.460838496805029,0.0022480060689253
HUANJING 1B (HJ-1B),08041B,0.004014388499659,5.536243744959715,0.0026076966910479
GEOEYE 1,08042A,0.0034445208552131,0.0274962394741551,0.001637758592682
NIMIQ 4,08044A,0.01251285276166695,29.426284397441364,0.01993180495107045
GALAXY 19 (G-19),08045A,0.01251285276166695,29.426284397441364,0.01993180495107045
THEOS,08049A,0.0031652289151931,0.6509198927339962,0.0021015003796427
SHIJIAN-6 03A (SJ-6 03A),08053A,0.0120107259088826,42.30348172732237,0.0003818603022441
SHIJIAN-6 03B (SJ-6 03B),08053B,0.0006448782487615,0.5706727659146299,0.0013946971452521
COSMO-SKYMED 3,08054A,0.0062142379791929,21.26230417868232,0.0002309714689873
SHIYAN-3 (SY-3),08056A,0.0023166274640427,0.0001665724939774,0.0027039344548035
CHUANGXIN 1-02 (CX-1-02),08056B,0.0026212671130459,1.226623209411767,0.0037760446643285
ASTRA 1M,08057A,0.01251285276166695,29.426284397441364,0.01993180495107045
YAOGAN-4,08061A,0.0056590236249055,0.0301708835240077,0.0006535256373851
EUTELSAT HOTBIRD 13C,08065A,0.01251285276166695,29.426284397441364,0.01993180495107045
GOSAT (IBUKI),09002A,0.0024016948758046,1.5021359969804988,0.0009222179496448
STARS (KUKAI),09002G,0.0087694289833482,1.4354715330287675,0.0020101955723678
KKS-1 (KISEKI),09002H,0.0041081071185441,0.1263517739613913,5.870210586198174e-06
EXPRESS-AM44,09007A,0.01251285276166695,29.426284397441364,0.01993180495107045
NSS-9,09008A,0.01251285276166695,29.426284397441364,0.01993180495107045
TELSTAR 11N,09009A,0.01251285276166695,29.426284397441364,0.01993180495107045
NAVSTAR 63 (USA 203),09014A,0.0271650462228011,0.017138114603026,0.0054389581889077
WGS F2 (USA 204),09017A,0.01251285276166695,29.426284397441364,0.01993180495107045
SES-7 (PROTOSTAR 2),09027A,0.01251285276166695,29.426284397441364,0.01993180495107045
MEASAT-3A,09032A,0.01251285276166695,29.426284397441364,0.01993180495107045
GOES 14,09033A,0.01251285276166695,29.426284397441364,0.01993180495107045
FM-5,09034A,0.01251285276166695,29.426284397441364,0.01993180495107045
TERRESTAR-1,09035A,0.01251285276166695,29.426284397441364,0.01993180495107045
COSMOS 2451,09036A,0.0012121036232535,0.0436514732350377,0.0009266487760394
COSMOS 2453,09036C,0.0010606695842197,0.0375619683574662,0.0008769898453399
DEIMOS-1,09041A,0.0028777528316127,0.7285500013133928,0.0014656711521508
DUBAISAT-1,09041B,0.0038235848991924,0.2223169977151416,0.0006222490907516
UK-DMC 2,09041C,0.0015678731771542,1.6918761474112267,0.0017537897917059
APRIZESAT 4,09041D,0.004164052103918,0.216023165874046,0.00119597339623
NANOSAT 1B,09041E,0.0052314588290693,0.1669139574245499,0.001277758588016
APRIZESAT 3,09041F,0.0061565011717171,0.7452696298855062,0.0007196816648537
ASIASAT 5,09042A,0.01251285276166695,29.426284397441364,0.01993180495107045
NAVSTAR 64 (USA 206),09043A,0.0001013038668179,0.1067510775021813,0.0016462429595512
JCSAT-12 (JCSAT-RA),09044A,0.01251285276166695,29.426284397441364,0.01993180495107045
OPTUS D3,09044B,0.01251285276166695,29.426284397441364,0.01993180495107045
NIMIQ 5,09050A,0.01251285276166695,29.426284397441364,0.01993180495107045
